"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"141","6895","29117","6895","19788","4","55","44","-2","8","1658","19141","93","2096","0","2","68","nle.2693400.6.ttyrec3.bz2","6","6895","4","Mon","Hum","Mal","Neu","killed by a fire ant while frozen by a potion"
"142","27297","66291","27297","35945","3","64","66","-1","10","6680","35846","1651","3855","0","0","284","nle.2693391.5.ttyrec3.bz2","5","27297","5","Mon","Hum","Mal","Neu","poisoned by a rotted garter snake corpse"
"143","1474","13440","1474","9433","1","43","38","2","6","365","9385","14","597","0","1","27","nle.2693452.6.ttyrec3.bz2","6","1474","1","Mon","Hum","Mal","Neu","quit"
"144","6658","34717","6658","20851","3","60","47","1","8","1617","20052","176","1558","0","2","150","nle.2693387.8.ttyrec3.bz2","8","6658","3","Mon","Hum","Mal","Neu","killed by a bat"
"145","2750","20027","2750","16489","1","52","56","3","7","659","14382","8","633","0","1","3","nle.2693397.12.ttyrec3.bz2","12","2750","1","Mon","Hum","Mal","Neu","killed by a dwarf while fainted from lack of food"
"146","5983","43605","5983","26407","1","12","51","7","8","1457","25283","607","719","0","15","54","nle.2693392.9.ttyrec3.bz2","9","5983","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"147","2038","16312","2038","13370","1","45","40","3","6","329","11258","14","584","0","23","32","nle.2693394.13.ttyrec3.bz2","13","2038","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"148","1393","12660","1393","9314","1","58","31","4","6","347","8659","5","599","0","7","11","nle.2693388.9.ttyrec3.bz2","9","1393","1","Mon","Hum","Mal","Neu","poisoned by a rotted gnome corpse"
"149","5520","28618","5520","20613","2","64","38","2","8","1320","20327","298","925","0","5","50","nle.2693393.11.ttyrec3.bz2","11","5520","2","Mon","Hum","Mal","Neu","killed by Ms. Enniscorthy; the shopkeeper"
"150","8021","42313","8021","26264","3","61","47","9","8","1953","25968","429","1926","0","34","145","nle.2693396.6.ttyrec3.bz2","6","8021","3","Mon","Hum","Mal","Neu","quit"
