"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"246","10720","41396","10720","28234","3","67","50","5","9","2630","27735","482","1581","0","6","40","nle.2693389.16.ttyrec3.bz2","16","10720","3","Mon","Hum","Mal","Neu","poisoned by a rotted hobbit corpse"
"247","6848","37449","6848","23605","4","66","52","3","8","1654","22851","212","1677","0","5","31","nle.2693393.18.ttyrec3.bz2","18","6848","4","Mon","Hum","Mal","Neu","killed by a soldier ant"
"248","12275","45010","12275","28880","2","75","36","0","9","2865","28603","1177","1336","0","3","60","nle.2693398.14.ttyrec3.bz2","14","12275","3","Mon","Hum","Mal","Neu","killed by a dwarf"
"249","2709","20056","2709","14815","1","56","47","3","7","676","13967","5","474","0","9","79","nle.2693394.19.ttyrec3.bz2","19","2709","1","Mon","Hum","Mal","Neu","killed by strangulation"
"250","4954","24233","4954","12842","4","43","31","5","7","1183","12359","72","1739","0","5","14","nle.2693388.16.ttyrec3.bz2","16","4954","4","Mon","Hum","Mal","Neu","quit"
"251","3333","22389","3333","16518","1","54","46","3","7","830","15191","189","675","0","8","38","nle.2693390.16.ttyrec3.bz2","16","3333","1","Mon","Hum","Mal","Neu","killed by a little dog while fainted from lack of food"
"252","8680","40278","8680","28962","4","79","49","4","8","2008","28655","568","2656","0","9","41","nle.2693399.14.ttyrec3.bz2","14","8680","4","Mon","Hum","Mal","Neu","killed by a black unicorn"
"253","1292","11930","1292","8218","1","50","37","4","6","321","7883","8","483","0","10","58","nle.2693393.19.ttyrec3.bz2","19","1292","1","Mon","Hum","Mal","Neu","poisoned by a rotted brown mold corpse"
"254","3652","26559","3652","20950","1","49","43","1","7","644","18735","26","649","0","34","48","nle.2693452.13.ttyrec3.bz2","13","3652","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"255","346","3909","346","3138","1","35","23","4","4","82","3002","18","579","0","4","6","nle.2693393.20.ttyrec3.bz2","20","346","1","Mon","Hum","Mal","Neu","quit"
"256","3594","24076","3594","17758","1","41","31","3","7","879","16779","10","601","0","10","63","nle.2693400.13.ttyrec3.bz2","13","3594","1","Mon","Hum","Mal","Neu","killed by a hobbit while fainted from lack of food"
"257","9432","42222","9432","28462","3","57","43","10","8","2304","27662","1166","2190","0","11","52","nle.2693397.18.ttyrec3.bz2","18","9432","3","Mon","Hum","Mal","Neu","killed by a wand"
"258","22341","55058","22341","32671","5","90","49","0","10","5450","32570","417","4190","0","0","81","nle.2693387.13.ttyrec3.bz2","13","22341","5","Mon","Hum","Mal","Neu","poisoned by a rotted hill orc corpse"
"259","1481","15013","1481","10540","1","55","30","3","6","368","10334","9","518","0","10","17","nle.2693398.15.ttyrec3.bz2","15","1481","1","Mon","Hum","Mal","Neu","quit"
"260","12955","38584","12955","24897","6","57","45","-2","7","1279","23522","565","3911","0","28","144","nle.2693391.13.ttyrec3.bz2","13","12955","6","Mon","Hum","Mal","Neu","killed by a gnomish wizard while fainted from lack of food"
"261","6788","28794","6788","13907","3","65","43","5","8","1648","14051","190","2237","0","5","12","nle.2693395.18.ttyrec3.bz2","18","6788","4","Mon","Hum","Mal","Neu","killed by a wand while praying"
"262","3748","25136","3748","16886","1","50","28","2","7","937","16510","88","637","0","12","52","nle.2693389.17.ttyrec3.bz2","17","3748","1","Mon","Hum","Mal","Neu","quit"
"264","32","4852","32","3703","1","16","4","-2","1","0","2971","12","543","0","0","2","nle.2693398.16.ttyrec3.bz2","16","32","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"265","448","3644","448","2884","1","34","23","3","4","112","2463","0","413","0","3","11","nle.2693391.14.ttyrec3.bz2","14","448","1","Mon","Hum","Mal","Neu","killed by a wand"
"266","7912","35232","7912","23042","2","65","42","0","8","1939","22287","170","1195","0","17","49","nle.2693392.18.ttyrec3.bz2","18","7912","2","Mon","Hum","Mal","Neu","poisoned by a rotted killer bee corpse"
"267","6239","39249","6239","27870","2","53","50","2","8","1545","27683","83","823","0","58","468","nle.2693396.12.ttyrec3.bz2","12","6239","2","Mon","Hum","Mal","Neu","quit"
"268","1527","14011","1527","8545","1","41","39","3","6","378","8101","5","587","0","0","13","nle.2693387.14.ttyrec3.bz2","14","1527","1","Mon","Hum","Mal","Neu","killed by a hobbit"
"269","4014","25040","4014","14819","1","49","43","3","7","1001","14907","30","674","0","0","20","nle.2693388.17.ttyrec3.bz2","17","4014","1","Mon","Hum","Mal","Neu","quit"
"270","3788","23955","3788","14638","1","51","46","2","7","890","14741","228","631","0","0","32","nle.2693399.15.ttyrec3.bz2","15","3788","1","Mon","Hum","Mal","Neu","quit"
"271","1942","11321","1942","8409","1","52","41","3","6","483","8566","10","477","0","0","20","nle.2693391.15.ttyrec3.bz2","15","1942","1","Mon","Hum","Mal","Neu","poisoned by a rotted floating eye corpse"
"272","98","1218","98","924","1","19","10","4","2","22","392","10","310","0","2","3","nle.2693391.16.ttyrec3.bz2","16","98","1","Mon","Hum","Mal","Neu","poisoned by a rotted kobold corpse"
"273","281","4917","281","4081","1","23","15","6","2","39","3996","5","483","0","2","12","nle.2693399.16.ttyrec3.bz2","16","281","1","Mon","Hum","Mal","Neu","killed by a gas spore's explosion while helpless"
"274","839","7744","839","6301","1","34","26","3","5","205","4693","19","669","0","6","12","nle.2693387.15.ttyrec3.bz2","15","839","1","Mon","Hum","Mal","Neu","killed by a giant rat while fainted from lack of food"
"275","3708","18001","3708","10394","3","46","49","-3","7","874","9820","286","1573","0","0","57","nle.2693401.16.ttyrec3.bz2","16","3708","3","Mon","Hum","Mal","Neu","killed by a boulder"
"276","2348","13726","2351","5056","3","49","22","6","6","545","4952","120","1989","0","0","38","nle.2693392.19.ttyrec3.bz2","19","2348","4","Mon","Hum","Mal","Neu","killed by a giant ant while frozen by a monster's gaze"
"277","960","8477","960","6277","1","36","34","3","5","240","5533","700","589","0","17","29","nle.2693388.18.ttyrec3.bz2","18","960","1","Mon","Hum","Mal","Neu","killed by a guard"
"278","2806","20764","2806","12192","3","54","30","5","7","670","11952","26","867","0","3","43","nle.2693389.18.ttyrec3.bz2","18","2806","3","Mon","Hum","Mal","Neu","quit"
"279","8775","38265","8775","21367","2","50","53","3","8","2162","21309","131","1848","0","0","89","nle.2693394.20.ttyrec3.bz2","20","8775","3","Mon","Hum","Mal","Neu","quit"
"280","8364","38300","8364","25975","2","68","49","7","8","2039","24911","200","1096","0","27","159","nle.2693390.17.ttyrec3.bz2","17","8364","2","Mon","Hum","Mal","Neu","died of starvation while fainted"
"282","3249","26709","3249","16264","1","51","34","-3","7","811","15719","5","519","0","17","92","nle.2693395.19.ttyrec3.bz2","19","3249","1","Mon","Hum","Mal","Neu","killed by a kobold zombie while fainted from lack of food"
"283","10507","35912","10507","24192","4","54","44","0","8","2478","23125","883","1972","0","1","109","nle.2693452.14.ttyrec3.bz2","14","10507","4","Mon","Hum","Mal","Neu","killed by a gold golem while fainted from lack of food"
"284","5551","33364","5551","20007","1","45","45","2","8","1354","19361","355","464","0","4","101","nle.2693400.14.ttyrec3.bz2","14","5551","1","Mon","Hum","Mal","Neu","poisoned by a rotted glob of gray ooze while helpless"
"285","72","451","72","226","1","14","4","4","1","18","289","0","291","0","6","6","nle.2693400.15.ttyrec3.bz2","15","72","1","Mon","Hum","Mal","Neu","poisoned by a rotted jackal corpse"
"286","1240","9831","1240","7851","1","36","25","3","5","309","7852","4","542","0","5","17","nle.2693387.16.ttyrec3.bz2","16","1240","1","Mon","Hum","Mal","Neu","killed by a little dog"
"287","334","3449","334","2849","1","34","13","3","4","81","2774","10","583","0","0","4","nle.2693390.18.ttyrec3.bz2","18","334","1","Mon","Hum","Mal","Neu","quit"
"288","417","5596","417","3931","1","34","27","4","4","103","3678","5","511","0","1","1","nle.2693394.21.ttyrec3.bz2","21","417","1","Mon","Hum","Mal","Neu","poisoned by a rotted goblin corpse"
"289","5681","28421","5681","18760","1","55","54","0","8","1390","18805","257","497","0","1","16","nle.2693398.17.ttyrec3.bz2","17","5681","1","Mon","Hum","Mal","Neu","poisoned by a rotted hobgoblin corpse"
"290","528","4726","528","3805","1","34","24","3","4","132","3140","0","407","0","9","14","nle.2693397.20.ttyrec3.bz2","20","528","1","Mon","Hum","Mal","Neu","quit"
"291","774","6364","774","5131","1","36","20","1","5","188","4215","22","648","0","0","9","nle.2693395.20.ttyrec3.bz2","20","774","1","Mon","Hum","Mal","Neu","killed by a sewer rat while fainted from lack of food"
"292","432","4652","432","3904","1","39","27","4","4","108","3473","0","594","0","0","5","nle.2693394.22.ttyrec3.bz2","22","432","1","Mon","Hum","Mal","Neu","quit"
"293","6218","39665","6218","27655","2","56","41","-1","8","1542","26849","390","1141","0","16","41","nle.2693393.21.ttyrec3.bz2","21","6218","2","Mon","Hum","Mal","Neu","quit"
"294","4968","27577","4968","17697","1","57","52","3","7","1242","17216","112","562","0","0","137","nle.2693396.13.ttyrec3.bz2","13","4968","1","Mon","Hum","Mal","Neu","quit"
"295","2281","17057","2281","12307","1","40","31","3","6","566","11811","17","719","0","0","3","nle.2693388.19.ttyrec3.bz2","19","2281","1","Mon","Hum","Mal","Neu","poisoned by a rotted large kobold corpse"
"296","2473","19741","2473","13648","1","45","30","-2","6","613","13463","11","499","0","7","35","nle.2693392.20.ttyrec3.bz2","20","2473","1","Mon","Hum","Mal","Neu","killed by an orc zombie"
"297","1298","11814","1298","8509","1","34","30","3","5","319","8621","12","574","0","58","105","nle.2693400.16.ttyrec3.bz2","16","1298","1","Mon","Hum","Mal","Neu","quit"
"298","3928","23144","3928","14673","1","54","55","10","7","975","14043","8","364","0","5","13","nle.2693391.17.ttyrec3.bz2","17","3928","1","Mon","Hum","Mal","Neu","poisoned by a rotted giant ant corpse"
"299","1390","14097","1390","11898","2","48","29","3","6","335","10998","28","794","0","6","80","nle.2693387.17.ttyrec3.bz2","17","1390","2","Mon","Hum","Mal","Neu","killed by Ms. Kiltamagh; the shopkeeper"
"300","1224","8917","1224","6804","1","29","41","4","5","304","6914","8","633","0","0","34","nle.2693394.23.ttyrec3.bz2","23","1224","1","Mon","Hum","Mal","Neu","poisoned by a rotted giant rat corpse while helpless"
"301","829","8359","829","5824","1","35","23","-2","5","203","5820","17","605","0","0","9","nle.2693393.22.ttyrec3.bz2","22","829","1","Mon","Hum","Mal","Neu","killed by a hobgoblin"
"302","4196","27589","4196","19950","1","51","44","1","7","1044","19295","788","633","0","20","49","nle.2693397.21.ttyrec3.bz2","21","4196","1","Mon","Hum","Mal","Neu","poisoned by a rotted giant ant corpse"
"303","7201","42997","7201","29323","2","66","60","-3","8","1778","28609","551","1350","0","4","45","nle.2693399.17.ttyrec3.bz2","17","7201","2","Mon","Hum","Mal","Neu","killed by a kobold lord"
"304","6731","40595","6731","22940","1","53","45","3","8","1679","22267","201","597","0","0","3","nle.2693401.17.ttyrec3.bz2","17","6731","1","Mon","Hum","Mal","Neu","killed by a hill orc"
"305","11008","34781","11008","22444","5","70","36","2","8","2494","22128","1176","2815","0","1","83","nle.2693390.19.ttyrec3.bz2","19","11008","5","Mon","Hum","Mal","Neu","killed by a bolt of fire"
"306","4785","26947","4785","18439","4","48","39","3","7","1091","17619","221","1375","0","2","12","nle.2693388.20.ttyrec3.bz2","20","4785","4","Mon","Hum","Mal","Neu","killed by an Uruk-hai"
"308","4522","26469","4522","12591","4","51","43","6","7","1054","12374","126","2077","0","3","43","nle.2693400.17.ttyrec3.bz2","17","4522","4","Mon","Hum","Mal","Neu","killed by a giant ant"
"309","4700","28116","4700","18926","1","43","44","1","7","1173","19154","42","580","0","2","34","nle.2693387.18.ttyrec3.bz2","18","4700","1","Mon","Hum","Mal","Neu","quit"
"310","534","5076","534","3895","1","38","19","4","4","129","3867","8","669","0","1","2","nle.2693389.20.ttyrec3.bz2","20","534","1","Mon","Hum","Mal","Neu","quit"
"311","3277","30519","3280","20170","1","47","39","4","7","820","18996","39","542","0","9","27","nle.2693391.18.ttyrec3.bz2","18","3277","1","Mon","Hum","Mal","Neu","killed by a rothe while fainted from lack of food"
"312","7374","47451","7374","21277","2","45","49","3","8","1826","21054","96","948","0","0","71","nle.2693452.15.ttyrec3.bz2","15","7374","2","Mon","Hum","Mal","Neu","killed by a hill orc"
"313","10591","45775","10591","22773","5","60","48","2","8","2550","22348","445","2899","0","0","49","nle.2693398.18.ttyrec3.bz2","18","10591","5","Mon","Hum","Mal","Neu","killed by a fire ant"
"314","947","7254","947","5479","1","37","34","1","5","231","4710","23","555","0","1","44","nle.2693389.21.ttyrec3.bz2","21","947","1","Mon","Hum","Mal","Neu","quit"
"315","1491","15962","1491","11086","1","46","35","3","6","372","10141","3","630","0","4","9","nle.2693390.20.ttyrec3.bz2","20","1491","1","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"316","52","1174","52","539","1","14","4","4","1","13","451","0","621","0","0","0","nle.2693389.22.ttyrec3.bz2","22","52","1","Mon","Hum","Mal","Neu","quit"
"317","2368","20128","2368","14385","1","44","30","1","6","591","13889","4","547","0","5","23","nle.2693397.22.ttyrec3.bz2","22","2368","1","Mon","Hum","Mal","Neu","quit"
"318","14428","41560","14428","23650","8","63","54","6","9","3449","23328","252","2710","0","0","72","nle.2693392.21.ttyrec3.bz2","21","14428","8","Mon","Hum","Mal","Neu","killed by a shocking sphere"
"319","7435","39367","7435","22579","2","74","48","7","8","1790","22051","865","881","0","1","58","nle.2693394.24.ttyrec3.bz2","24","7435","2","Mon","Hum","Mal","Neu","killed by a wand"
"320","1131","12192","1131","8554","1","33","26","6","5","279","7406","15","531","0","6","19","nle.2693387.19.ttyrec3.bz2","19","1131","1","Mon","Hum","Mal","Neu","killed by a hobbit while fainted from lack of food"
"321","4722","53631","4722","23750","3","62","30","0","7","1133","22694","64","724","0","6","31","nle.2693395.21.ttyrec3.bz2","21","4722","3","Mon","Hum","Mal","Neu","killed by an iguana while fainted from lack of food"
"322","4290","24091","4290","16316","1","51","41","1","7","1064","15630","80","692","0","0","109","nle.2693400.18.ttyrec3.bz2","18","4290","1","Mon","Hum","Mal","Neu","quit"
"324","8028","33009","8028","21707","2","45","52","3","8","1906","21343","542","1114","0","0","31","nle.2693401.18.ttyrec3.bz2","18","8028","2","Mon","Hum","Mal","Neu","poisoned by a rotted hill orc corpse while helpless"
"325","8499","31274","8499","20592","4","53","54","0","8","2044","19709","159","1715","0","7","140","nle.2693388.21.ttyrec3.bz2","21","8499","4","Mon","Hum","Mal","Neu","killed by a dwarf lord"
"326","1999","20476","1999","13987","1","56","38","10","7","647","12738","17","708","0","1","17","nle.2693398.19.ttyrec3.bz2","19","1999","1","Mon","Hum","Mal","Neu","killed by a giant rat while fainted from lack of food"
"327","13638","61921","13638","33741","3","74","47","7","9","3382","32336","1962","1301","0","3","83","nle.2693396.14.ttyrec3.bz2","14","13638","3","Mon","Hum","Mal","Neu","killed by a rothe while frozen by a monster's gaze"
"328","1564","11703","1564","8611","1","41","22","3","6","386","7692","10","628","0","0","55","nle.2693395.22.ttyrec3.bz2","22","1564","1","Mon","Hum","Mal","Neu","killed by a dwarf zombie while fainted from lack of food"
"329","4490","29257","4490","21244","1","46","38","2","7","644","19406","238","556","0","5","21","nle.2693391.19.ttyrec3.bz2","19","4490","1","Mon","Hum","Mal","Neu","killed by a water elemental of Chih Sung-tzu while fainted from lack of food"
"330","14114","57387","14114","25492","3","85","65","1","9","2779","25798","3160","1248","0","0","51","nle.2693393.23.ttyrec3.bz2","23","14114","3","Mon","Hum","Mal","Neu","poisoned by a rotted jaguar corpse"
"331","9764","44662","9764","27371","1","45","54","0","8","2323","26560","1308","1597","0","0","77","nle.2693399.18.ttyrec3.bz2","18","9764","3","Mon","Hum","Mal","Neu","killed by a bolt of fire"
"332","984","8504","984","5828","1","36","28","3","5","246","5872","0","546","0","19","31","nle.2693398.20.ttyrec3.bz2","20","984","1","Mon","Hum","Mal","Neu","quit"
"333","2973","21044","2973","13993","1","46","45","1","7","739","13662","7","507","0","10","72","nle.2693400.19.ttyrec3.bz2","19","2973","1","Mon","Hum","Mal","Neu","quit"
"334","6784","31328","6784","21594","3","63","42","3","8","1642","20485","168","1150","0","3","42","nle.2693390.21.ttyrec3.bz2","21","6784","3","Mon","Hum","Mal","Neu","killed by a jackal while fainted from lack of food"
"335","16","123","16","22","1","15","4","4","1","4","0","0","31","0","0","0","nle.2693400.20.ttyrec3.bz2","20","16","1","Mon","Hum","Mal","Neu","killed by a falling rock"
"336","954","8460","954","6608","1","39","26","4","5","237","5927","6","628","0","0","0","nle.2693393.24.ttyrec3.bz2","24","954","1","Mon","Hum","Mal","Neu","poisoned by a rotted coyote corpse"
"337","6354","30868","6354","23654","2","56","74","1","8","1530","23363","320","1287","0","32","132","nle.2693389.23.ttyrec3.bz2","23","6354","2","Mon","Hum","Mal","Neu","killed by a hobgoblin"
"338","2868","19500","2868","14803","1","67","48","3","8","1282","13332","12","747","0","0","7","nle.2693401.19.ttyrec3.bz2","19","2868","1","Mon","Hum","Mal","Neu","killed by a sewer rat while fainted from lack of food"
"339","5204","34556","5204","19223","1","53","37","3","7","1271","19218","220","545","0","17","70","nle.2693397.23.ttyrec3.bz2","23","5204","1","Mon","Hum","Mal","Neu","quit"
"340","7629","39356","7629","26745","1","72","56","2","8","1852","25808","417","551","0","6","75","nle.2693392.22.ttyrec3.bz2","22","7629","1","Mon","Hum","Mal","Neu","quit"
"341","1905","16505","1905","12529","1","44","40","3","6","326","11506","3","523","0","0","44","nle.2693398.21.ttyrec3.bz2","21","1905","1","Mon","Hum","Mal","Neu","killed by a kobold lord while fainted from lack of food"
"342","1077","9948","1077","7916","1","38","33","4","5","164","6807","17","511","0","0","25","nle.2693401.20.ttyrec3.bz2","20","1077","1","Mon","Hum","Mal","Neu","killed by a cave spider while fainted from lack of food"
"343","11172","41075","11172","22843","6","74","58","8","9","2678","22757","332","4637","0","4","47","nle.2693387.20.ttyrec3.bz2","20","11172","6","Mon","Hum","Mal","Neu","quit"
"344","976","8617","976","6743","1","41","25","3","5","237","6405","18","639","0","13","21","nle.2693397.24.ttyrec3.bz2","24","976","1","Mon","Hum","Mal","Neu","quit"
"345","2779","21446","2779","15950","1","46","53","4","7","644","14741","11","496","0","28","52","nle.2693391.20.ttyrec3.bz2","20","2779","1","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"346","342","3995","342","3145","1","26","21","3","4","82","2750","14","766","0","0","3","nle.2693401.21.ttyrec3.bz2","21","342","1","Mon","Hum","Mal","Neu","poisoned by a rotted hobbit corpse while helpless"
"347","2538","14915","2538","10014","1","39","28","2","6","632","9949","10","518","0","0","6","nle.2693393.25.ttyrec3.bz2","25","2538","1","Mon","Hum","Mal","Neu","poisoned by a rotted jackal corpse"
"348","354","3866","354","2617","1","35","25","3","4","86","2505","10","422","0","12","20","nle.2693387.21.ttyrec3.bz2","21","354","1","Mon","Hum","Mal","Neu","quit"
"349","11093","55838","11093","31648","4","64","46","3","9","2720","31508","609","1848","0","10","151","nle.2693452.16.ttyrec3.bz2","16","11093","4","Mon","Hum","Mal","Neu","killed by a soldier ant"
"350","598","4376","598","3371","1","30","20","3","4","146","3681","14","564","0","13","17","nle.2693391.21.ttyrec3.bz2","21","598","1","Mon","Hum","Mal","Neu","poisoned by a rotted shrieker corpse"
"351","262","3453","262","2902","1","28","11","3","3","62","2347","14","552","0","0","0","nle.2693393.26.ttyrec3.bz2","26","262","1","Mon","Hum","Mal","Neu","quit"
"352","6892","33419","6892","21455","2","59","64","0","8","1708","20467","286","1171","0","3","48","nle.2693396.15.ttyrec3.bz2","15","6892","2","Mon","Hum","Mal","Neu","killed by a bugbear while fainted from lack of food"
"353","7466","35379","7466","23834","2","60","43","4","8","1854","23739","1414","1113","0","1","30","nle.2693395.23.ttyrec3.bz2","23","7466","2","Mon","Hum","Mal","Neu","poisoned by a rotted rothe corpse"
"354","3422","25682","3422","14954","1","47","43","3","7","677","13956","162","626","0","4","13","nle.2693400.21.ttyrec3.bz2","21","3422","1","Mon","Hum","Mal","Neu","killed by a rothe while fainted from lack of food"
"355","1736","13356","1736","9648","1","32","40","3","6","430","7988","16","552","0","8","23","nle.2693397.25.ttyrec3.bz2","25","1736","1","Mon","Hum","Mal","Neu","killed by a manes while fainted from lack of food"
"356","1171","10414","1171","7814","1","35","28","3","5","290","7791","11","516","0","0","0","nle.2693387.22.ttyrec3.bz2","22","1171","1","Mon","Hum","Mal","Neu","poisoned by a rotted goblin corpse"
"357","1454","14593","1454","11281","1","45","35","3","6","363","11127","2","738","0","14","41","nle.2693401.22.ttyrec3.bz2","22","1454","1","Mon","Hum","Mal","Neu","quit"
"358","629","20158","629","10793","2","16","17","2","3","79","8572","11","1125","0","0","15","nle.2693398.22.ttyrec3.bz2","22","629","2","Mon","Hum","Mal","Neu","died of starvation while fainted"
"359","5957","32667","5957","21761","2","67","64","1","8","1449","21180","209","1309","0","21","63","nle.2693390.22.ttyrec3.bz2","22","5957","2","Mon","Hum","Mal","Neu","killed by Mr. Lahinch; the shopkeeper"
"360","4620","29863","4620","20238","1","54","32","3","7","1155","19459","118","625","0","23","50","nle.2693389.24.ttyrec3.bz2","24","4620","1","Mon","Hum","Mal","Neu","quit"
"361","13868","41432","13868","25558","5","73","63","1","9","3352","24933","534","3613","0","3","43","nle.2693399.19.ttyrec3.bz2","19","13868","5","Mon","Hum","Mal","Neu","poisoned by a rotted floating eye corpse"
"362","315","3618","315","2846","1","25","18","4","3","76","2752","11","436","0","0","4","nle.2693390.23.ttyrec3.bz2","23","315","1","Mon","Hum","Mal","Neu","quit"
"363","7479","30741","7479","21281","3","58","56","4","8","1801","20822","345","1428","0","1","114","nle.2693392.23.ttyrec3.bz2","23","7479","3","Mon","Hum","Mal","Neu","killed by a jackal"
"365","1882","17089","1882","12956","1","42","25","3","6","468","11400","10","504","0","5","47","nle.2693400.22.ttyrec3.bz2","22","1882","1","Mon","Hum","Mal","Neu","killed by a hobbit while fainted from lack of food"
"366","4699","28445","4699","20270","1","9","50","7","7","1169","19200","291","677","0","7","46","nle.2693452.17.ttyrec3.bz2","17","4699","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"367","4667","30014","4667","21714","1","49","29","-7","7","1140","21424","289","502","0","67","115","nle.2693391.22.ttyrec3.bz2","22","4667","1","Mon","Hum","Mal","Neu","killed by a gnome"
"368","3460","20936","3460","13539","1","49","47","0","7","865","13511","22","538","0","1","37","nle.2693398.23.ttyrec3.bz2","23","3460","1","Mon","Hum","Mal","Neu","quit"
"369","4671","24467","4671","15372","1","48","48","4","7","1141","14864","107","498","0","0","76","nle.2693387.23.ttyrec3.bz2","23","4671","1","Mon","Hum","Mal","Neu","poisoned by a rotted rock mole corpse while helpless"
"370","3943","21465","3943","14389","1","53","48","4","7","982","14116","15","547","0","1","25","nle.2693390.24.ttyrec3.bz2","24","3943","1","Mon","Hum","Mal","Neu","quit"
"371","7146","33711","7146","21038","3","65","52","1","8","1699","20101","400","1601","0","4","57","nle.2693395.24.ttyrec3.bz2","24","7146","3","Mon","Hum","Mal","Neu","killed by a pony while frozen by a potion"
"372","988","11466","988","8950","1","32","23","3","4","159","7470","12","560","0","10","21","nle.2693387.24.ttyrec3.bz2","24","988","1","Mon","Hum","Mal","Neu","killed by a fox while fainted from lack of food"
"373","1781","16589","1781","9863","1","52","30","10","6","442","9361","3","562","0","30","46","nle.2693391.23.ttyrec3.bz2","23","1781","1","Mon","Hum","Mal","Neu","killed by a giant rat while fainted from lack of food"
"374","8845","25766","8845","13661","6","67","51","2","8","2085","13206","289","3094","0","0","40","nle.2693400.23.ttyrec3.bz2","23","8845","8","Mon","Hum","Mal","Neu","killed by a fire ant"
"375","6627","36702","6627","20621","1","62","38","2","8","1636","20493","103","521","0","0","81","nle.2693399.20.ttyrec3.bz2","20","6627","1","Mon","Hum","Mal","Neu","quit"
"376","4905","35582","4905","22640","1","36","37","3","7","1217","22172","17","500","0","14","21","nle.2693389.25.ttyrec3.bz2","25","4905","1","Mon","Hum","Mal","Neu","quit"
"377","12772","40021","12772","27860","4","61","57","4","9","2937","28795","854","2564","0","18","66","nle.2693401.23.ttyrec3.bz2","23","12772","4","Mon","Hum","Mal","Neu","choked on a food ration"
"378","15142","90839","15142","30972","3","60","49","5","9","3753","30123","390","1754","0","3","134","nle.2693394.26.ttyrec3.bz2","26","15142","3","Mon","Hum","Mal","Neu","poisoned by a rotted centipede corpse"
"379","5093","29861","5093","17413","1","49","41","2","7","1256","16710","59","337","0","40","107","nle.2693452.18.ttyrec3.bz2","18","5093","1","Mon","Hum","Mal","Neu","quit"
"380","16310","58953","16310","30464","7","58","41","4","9","3991","30208","738","3851","0","18","73","nle.2693396.16.ttyrec3.bz2","16","16310","7","Mon","Hum","Mal","Neu","poisoned by a rotted black unicorn corpse"
"381","2798","10058","2798","5906","5","44","25","5","6","632","6121","70","2939","0","0","39","nle.2693399.21.ttyrec3.bz2","21","2798","5","Mon","Hum","Mal","Neu","quit"
"382","6611","30484","6611","21166","8","67","27","1","8","1536","20453","97","2323","0","8","65","nle.2693398.24.ttyrec3.bz2","24","6611","8","Mon","Hum","Mal","Neu","killed by a leocrotta"
"383","540","5539","540","3418","1","35","28","3","4","131","3475","16","684","0","0","2","nle.2693396.17.ttyrec3.bz2","17","540","1","Mon","Hum","Mal","Neu","poisoned by a rotted gecko corpse"
"384","18542","100000","18542","38084","3","58","62","4","9","4590","37544","582","2293","0","12","67","nle.2693388.22.ttyrec3.bz2","22","18542","4","Mon","Hum","Mal","Neu","quit"
"385","1399","13166","1399","10334","1","41","25","10","6","347","9251","11","522","0","2","72","nle.2693394.27.ttyrec3.bz2","27","1399","1","Mon","Hum","Mal","Neu","killed by a manes while fainted from lack of food"
"386","2750","22930","2750","17129","1","43","29","-3","6","639","16136","48","678","0","7","95","nle.2693387.25.ttyrec3.bz2","25","2750","1","Mon","Hum","Mal","Neu","died of starvation while frozen by a monster's gaze"
"387","13174","47807","13174","29243","5","70","60","-3","9","3129","29417","2012","3605","0","3","82","nle.2693393.28.ttyrec3.bz2","28","13174","5","Mon","Hum","Mal","Neu","killed by a Woodland-elf while praying"
"388","1456","11812","1456","8110","1","35","22","3","6","358","7197","4","464","0","0","14","nle.2693399.22.ttyrec3.bz2","22","1456","1","Mon","Hum","Mal","Neu","quit"
"389","64","1296","64","1008","1","14","4","4","1","16","992","0","248","0","0","0","nle.2693393.29.ttyrec3.bz2","29","64","1","Mon","Hum","Mal","Neu","quit"
"391","0","248","0","57","1","14","4","4","1","0","0","0","78","0","0","0","nle.2693395.26.ttyrec3.bz2","26","0","1","Mon","Hum","Mal","Neu","quit"
"392","10188","35940","10188","23720","6","61","53","1","8","2425","23735","590","2918","0","3","75","nle.2693390.25.ttyrec3.bz2","25","10188","6","Mon","Hum","Mal","Neu","killed by a mumak"
"393","5337","25220","5337","18012","1","60","48","1","8","1311","17999","221","470","0","3","45","nle.2693391.24.ttyrec3.bz2","24","5337","1","Mon","Hum","Mal","Neu","poisoned by a rotted gnome lord corpse"
"394","18539","53996","18539","30433","6","74","51","0","9","4531","30123","1407","2824","0","0","15","nle.2693392.24.ttyrec3.bz2","24","18539","6","Mon","Hum","Mal","Neu","killed by a chameleon imitating a minotaur"
"395","1871","16353","1871","11121","1","43","38","3","6","458","11107","9","539","0","17","96","nle.2693398.25.ttyrec3.bz2","25","1871","1","Mon","Hum","Mal","Neu","killed by a kitten"
"396","4220","28384","4220","16373","1","46","35","0","7","1046","15624","182","513","0","0","9","nle.2693389.26.ttyrec3.bz2","26","4220","1","Mon","Hum","Mal","Neu","poisoned by a rotted bat corpse while helpless"
